disini akan berisikan list komponen untuk membuat data logger

Partlist at 10/08/2023 11.01

Part  Value                                                  Device                                                 Package                      Description                                                                                                                                                                                                                                                          ARROW_PART_NUMBER ARROW_PRICE-STOCK AVAILABILITY CENTROID_NOT_SPECIFIED COLLECTOR_BASE_VOLTAGE COLLECTOR_EMITTER_BREAKDOWN_VOLTAGE COLLECTOR_EMITTER_SATURATION_VOLTAGE COLLECTOR_EMITTER_VOLTAGE DATASHEET                                           DESCRIPTION                                                                                   DEVICE_CLASS_L1                                                          DEVICE_CLASS_L2 DEVICE_CLASS_L3 DIGIKEY_DESCRIPTION          DIGIKEY_PART_NUMBER EMITTER_BASE_VOLTAGE HEIGHT  HFE_MIN LEAD_FREE MANUFACTURER_NAME MANUFACTURER_PART_NUMBER MAX_COLLECTOR_CURRENT MAX_JUNCTION_TEMP MF                          MFG_PACKAGE_IDENT MFG_PACKAGE_IDENT_DATE MFG_PACKAGE_IDENT_REV MOUSER_DESCRIPTION                          MOUSER_PART_NUMBER MOUSER_PRICE-STOCK                                                                                                     MOUSER_TESTING_PART_NUMBER MOUSER_TESTING_PRICE-STOCK MP                 MPN         NUMBER_OF_ELEMENTS NUMBER_OF_NPN OC_FARNELL OC_NEWARK PACKAGE                    POPULARITY                 POWER_DISSIPATION PREFIX PRICE PROD_ID     PURCHASE-URL                                                    ROHS                                                         SF_ID     SF_SKU    SPICEPREFIX STANDOFF_HEIGHT TEMPERATURE_RANGE_HIGH VALUE          VERIFICATION_VERSION
BT1                                                          BATTERY-20MM_PTH                                       BATTCOM_20MM_PTH             Battery - Single Cell                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 BATT-09031                                                                                                                                         PRT-00783                                                                                       
C1    470uF                                                  CPOL-USE5-8.5                                          E5-8,5                       POLARIZED CAPACITOR, American symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
C2    2200uF                                                 CPOL-EU153CLV-1014                                     153CLV-1014                  POLARIZED CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        0                                                                                                                                                                                                                      C                                                                                     
RN1                                                          4R-NCAY16                                              CAY16                        Array Chip Resistor                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         unknown    unknown                              12                                                                                                                                                                                                                                                                                                           
S1    MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM                    MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM                    TACTILE_SWITCH_SMD_6.0X3.5MM Momentary Switch (Pushbutton) - SPST                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  SWCH-14278                                                                                                                                         COM-08229                                                                                       
S2    MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM                    MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM                    TACTILE_SWITCH_SMD_6.0X3.5MM Momentary Switch (Pushbutton) - SPST                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  SWCH-14278                                                                                                                                         COM-08229                                                                                       
T1                                                           BC817-NPN-SOT23-BEC                                    SOT23-BEC                    NPN Transistror                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             0                                                                                                                                                                                                                                                                                                            
T2                                                           BC817-NPN-SOT23-BEC                                    SOT23-BEC                    NPN Transistror                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             0                                                                                                                                                                                                                                                                                                            
U$14  MICROSD-PUSH-OUT                                       MICROSD-PUSH-OUT                                       MICROSD-PUSH-OUT             T-Flash Push-Out Micro SD Card Reader                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
U1    AMS1117-3.3                                            AMS1117-3.3                                            SOT229P700X180-4N            Check availability                                                                                                                                                                                                                                                                                       Not in stock                                                                                                                                                                                                       Sot223/Pkg 1-Amp 3.3-Volt Low Drop Out Voltage Regulatator                                                                                                                                                                                                                                                                                                                               Advanced Monolithic Systems                                                                                                                                                                                                                                                                                                            AMS1117-3.3                                                                          SOT-223 Seeed Technology                                                       None                                                                                                                                                                                                                                                     
U2    EL357N(A)(TA)-G                                        EL357N(A)(TA)-G                                        SOP254P700X200-4N            Optocoupler [Everlight Electronics] EL357N(A)(TA)-G Optocoupler Check availability                                                                                                                                                                                                                       In Stock                                                                                                                                                                                                           Optoisolator Transistor Output 3750Vrms 1 Channel 4-SOP (2.54mm)                                                                                                                                                                                                                                                                                                                         Everlight Electronics                                                                                                                                                                                                                                                                                                                  EL357N(A)(TA)-G                                                                      SOP-4 Everlight                                                                None                                                                                                                                                                                                                                                     
U3    EL357N(A)(TA)-G                                        EL357N(A)(TA)-G                                        SOP254P700X200-4N            Optocoupler [Everlight Electronics] EL357N(A)(TA)-G Optocoupler Check availability                                                                                                                                                                                                                       In Stock                                                                                                                                                                                                           Optoisolator Transistor Output 3750Vrms 1 Channel 4-SOP (2.54mm)                                                                                                                                                                                                                                                                                                                         Everlight Electronics                                                                                                                                                                                                                                                                                                                  EL357N(A)(TA)-G                                                                      SOP-4 Everlight                                                                None                                                                                                                                                                                                                                                     
U4    EL357N(A)(TA)-G                                        EL357N(A)(TA)-G                                        SOP254P700X200-4N            Optocoupler [Everlight Electronics] EL357N(A)(TA)-G Optocoupler Check availability                                                                                                                                                                                                                       In Stock                                                                                                                                                                                                           Optoisolator Transistor Output 3750Vrms 1 Channel 4-SOP (2.54mm)                                                                                                                                                                                                                                                                                                                         Everlight Electronics                                                                                                                                                                                                                                                                                                                  EL357N(A)(TA)-G                                                                      SOP-4 Everlight                                                                None                                                                                                                                                                                                                                                     
U5    LMV358                                                 LMV358SOIC                                             SO08                         IC LMV358 DUAL OP AMP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 IC-09657                                                                                                                                                                                                        LMV358                             
U6    ADS1115                                                ADS1115                                                MSOP10                       16-Bit Del-Sig ADC                                                                                                                                                                                                                                                                                       Not in stock                                                                                                                                                                                                       ADS1115 - 16 Bit 3.3k Samples per Second Analog to Digital Converter (ADC) Evaluation Board                                                                                                                                                                                                                                                                                              Texas Instruments                                                                                                                                                                                                                                                                                                                      ADS1115                                                                              VSSOP-10 Texas Instruments                                                     None                                                                                                                                                                                                                                                     
U7    DS1307Z                                                DS1307Z                                                SO08-0.15                    Maxim DS1307 - I2C Real-time clock (RTC)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              IC-08138                                                                                                                                                                                                                                           
U8    SN74LVC1G125DBVR                                       SN74LVC1G125DBVR                                       SOT95P280X145-5N             Check availability                                                                                                                                                                                                                                                                                       In Stock                                                                                                                                                                                                           Single 1.65-V to 5.5-V buffer with 3-state outputs                                                                                                                                                                                                                                                                                                                                       Texas Instruments                                                                                                                                                                                                                                                                                                                      SN74LVC1G125DBVR                                                                     SOT-23-5 Texas Instruments                                                     None              https://pricing.snapeda.com/search?q=SN74LVC1G125DBVR&ref=eda                                                                                                                                                                          
U9    SN74LVC245APWT                                         SN74LVC245APWT                                         SOP65P640X120-20N            Check availability                                                                                                                                                                                                                                                                                       In Stock                                                                                                                                                                                                           Octal Bus Transceiver With 3-State Outputs                                                                                                                                                                                                                                                                                                                                               Texas Instruments                                                                                                                                                                                                                                                                                                                      SN74LVC245APWT                                                                       TSSOP-20 Texas Instruments                                                     None              https://pricing.snapeda.com/search?q=SN74LVC245APWT&ref=eda                                                                                                                                                                            
U10   ATWINC1500-MR210UB                                     ATWINC1500-MR210UB                                     MICROCHIP_ATWINC1500-MR210UB SmartConnect ATWINC1500B-MU-T Module - SmartConnect ATWINC1500B-MU-T Module/ MODULE (R3) Check availability                                                                                                                                                                                              In Stock                                                                                                                                                                                                           WiFi 802.11b/g/n Transceiver Module 2.4GHz Antenna Not Included, U.FL Surface Mount                                                                                                                                                                                                                                                                                                      Microchip                                                                                                                                                                                                                                                                                                                              ATWINC1500-MR210UB                                                                   Module Microchip                                                               None              https://pricing.snapeda.com/search?q=ATWINC1500-MR210UB&ref=eda                                                                                                                                                                        
U11   MAX3232                                                MAX2323SOIC16                                          SO16                         RS232 Transceiver                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     IC-08171                                                                                                                                                                                                        MAX3232                            
U12    MAX3485CSA                                            RS485SOIC                                              SO08                         RS-485 Transceiver                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    IC-09388                                                                                                                                                                                                         MAX3485CSA                        
VR1   LM2596S-5.0                                            LM2596S-5.0                                            TO170P1524X483-6N            Check availability                                                                                                                                                                                                                                                                                       In Stock                                                                                                                                                                                                           SIMPLE SWITCHER&reg                                                                           4.5V to 40V, 3A Low Component Count Step-Down Regulator 5-DDPAK/TO-263                                                                                                                                                                                                                                                 Texas Instruments                                                                                                                                                                                                                                                                                                             LM2596S-5.0                                                                                  TO-263-5 Texas Instruments                                None                                                                        https://pricing.snapeda.com/search/part/LM2596S-5.0/?ref=eda                                                                                                           
X1    MSTBA4                                                 MSTBA4                                                 MSTBA4                       PHOENIX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              FARNELL                                                                                                                                                                                                                                                                                                                                                   1757268                                      3705195    71C4163                              9                                                                                                                                                                                                                                                                                                            
X2    MSTBA4                                                 MSTBA4                                                 MSTBA4                       PHOENIX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              FARNELL                                                                                                                                                                                                                                                                                                                                                   1757268                                      3705195    71C4163                              9                                                                                                                                                                                                                                                                                                            
X3    MSTBA4                                                 MSTBA4                                                 MSTBA4                       PHOENIX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              FARNELL                                                                                                                                                                                                                                                                                                                                                   1757268                                      3705195    71C4163                              9                                                                                                                                                                                                                                                                                                            
X4    MSTBA4                                                 MSTBA4                                                 MSTBA4                       PHOENIX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              FARNELL                                                                                                                                                                                                                                                                                                                                                   1757268                                      3705195    71C4163                              9                                                                                                                                                                                                                                                                                                            
X5    MSTBA4                                                 MSTBA4                                                 MSTBA4                       PHOENIX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              FARNELL                                                                                                                                                                                                                                                                                                                                                   1757268                                      3705195    71C4163                              9                                                                                                                                                                                                                                                                                                            
X6    MSTBA4                                                 MSTBA4                                                 MSTBA4                       PHOENIX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              FARNELL                                                                                                                                                                                                                                                                                                                                                   1757268                                      3705195    71C4163                              9                                                                                                                                                                                                                                                                                                            
X7    MSTBA2                                                 MSTBA2                                                 MSTBA2                       PHOENIX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              FARNELL                                                                                                                                                                                                                                                                                                                                                   1757242                                      3705171    71C4161                              11                                                                                                                                                                                                                                                                                                           
